
Quadro extraído em 10 de Junho de 2026 (16:28:10)
http://www.ine.pt



Período de referência dos dados;Local de residência à data dos Censos [2021] (NUTS - 2013);População residente (N.º) por Local de residência à data dos Censos [2021] (NUTS - 2013), Sexo e Grupo etário (Por ciclos de vida) -  Decenal;;;;;;;;;;;;
;;Sexo;;;;;;;;;;;;
;;HM;;;;H;;;;M;;;;
;;Grupo etário (Por ciclos de vida);;;;;;;;;;;;
;;Total;15 - 24 anos;25 - 64 anos;65 e mais anos;Total;15 - 24 anos;25 - 64 anos;65 e mais anos;Total;15 - 24 anos;25 - 64 anos;65 e mais anos;
;;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
;1213: Ponte de Sor;15248;1383;7684;4463;7327;696;3851;1910;7921;687;3833;2553;
;1214: Portalegre;22340;2205;11274;6128;10592;1101;5452;2680;11748;1104;5822;3448;
;1215: Sousel;4360;392;2039;1443;2027;205;991;587;2333;187;1048;856;
;0701: Alandroal;5014;397;2499;1608;2432;209;1293;687;2582;188;1206;921;
;0702: Arraiolos;6606;607;3360;1903;3231;313;1709;824;3375;294;1651;1079;
;0703: Borba;6428;552;3260;1866;3149;291;1643;851;3279;261;1617;1015;
;0704: Estremoz;12680;1136;6413;3683;6019;594;3132;1561;6661;542;3281;2122;
;0705: Évora;53577;5616;28248;12629;25445;2908;13477;5323;28132;2708;14771;7306;
;0706: Montemor-o-Novo;15799;1411;7791;4779;7593;707;3877;2073;8206;704;3914;2706;
;0707: Mora;4135;317;1847;1603;1974;171;909;704;2161;146;938;899;
;0708: Mourão;2351;238;1134;658;1188;132;592;297;1163;106;542;361;
